Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Sarjli_Kullanim_Suresi,Fiyat,marka
2.0,3,3,0,1,1,7499.0,103
2.0,0,3,0,0,1,15000.0,6
2.0,3,3,0,0,1,36999.0,79
2.0,3,3,0,0,1,36999.0,79
2.0,3,3,0,0,1,36999.0,79
2.0,3,3,0,0,1,36999.0,79
2.0,0,0,0,0,3,165441.0,40
4.0,3,3,0,0,1,11999.0,81
2.0,2,3,0,0,1,6990.0,82
4.0,3,3,0,0,1,26899.0,79
2.0,3,3,0,0,1,15750.0,25
1.0,3,0,0,0,1,17499.0,126
2.0,3,4,0,0,1,9999.0,84
2.0,2,0,0,0,1,179999.0,45
2.0,3,3,0,0,3,21799.0,79
3.0,0,0,0,0,2,32999.0,79
4.0,3,3,0,0,1,27999.0,79
4.0,3,3,0,0,3,22199.0,79
2.0,2,3,0,0,1,49980.0,108
1.0,4,4,0,1,1,1390.0,103
2.0,2,0,0,0,1,24995.0,49
2.0,2,4,0,0,1,12750.0,119
2.0,3,3,0,0,1,15750.0,62
2.0,3,3,0,1,1,127178.0,16
2.0,4,3,1,1,3,5999.0,54
2.0,2,3,0,0,1,11500.0,116
3.0,3,4,0,0,1,10500.0,25
4.0,3,3,0,0,1,229999.0,79
2.0,3,3,0,0,1,34999.0,79
3.0,0,0,0,0,2,317999.0,79
2.0,3,3,0,0,1,19999.0,79
2.0,3,3,0,0,1,299.0,50
2.0,3,0,0,0,1,399.0,50
2.0,3,3,0,0,1,299.0,50
2.0,3,0,0,0,1,299.0,50
2.0,3,0,0,0,1,299.0,50
2.0,3,0,0,0,1,199.0,50
2.0,3,3,0,1,1,10500.0,103
1.0,4,0,0,1,1,2609.0,63
2.0,3,3,0,0,1,6900.0,44
1.0,4,0,0,1,1,3501.0,63
1.0,4,0,0,1,1,2609.0,63
2.0,3,0,0,0,1,129975.0,9
2.0,3,0,0,0,1,142059.0,9
2.0,0,3,0,1,3,6000.0,82
2.0,3,3,0,0,1,7793.0,82
2.0,3,3,0,0,3,89999.0,45
2.0,3,0,0,1,3,11468.0,117
2.0,3,0,0,0,1,95441.0,119
2.0,3,3,0,0,1,16199.0,79
2.0,2,3,0,0,1,14450.0,57
2.0,3,3,0,0,1,34999.0,79
3.0,0,0,0,0,2,212999.0,79
3.0,0,0,0,0,2,219999.0,79
3.0,0,0,0,0,2,326999.0,79
3.0,0,0,0,0,2,329999.0,79
3.0,0,0,0,0,2,333999.0,79
3.0,0,0,0,0,2,335999.0,79
3.0,3,0,0,0,2,96999.0,40
4.0,3,3,0,0,3,24999.0,79
2.0,3,3,0,0,1,219999.0,45
2.0,2,3,0,0,1,159.0,6
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,32999.0,79
3.0,0,0,0,0,2,32999.0,79
3.0,3,0,0,0,2,9999.0,40
4.0,3,3,0,0,1,259999.0,79
4.0,3,3,0,0,1,28599.0,79
4.0,3,3,0,0,1,29499.0,79
4.0,3,3,0,0,1,29499.0,79
4.0,3,3,0,0,1,29499.0,79
4.0,3,0,0,0,2,21999.0,79
2.0,4,3,1,0,1,9499.0,40
2.0,0,1,0,0,1,9999.0,1
1.0,3,3,0,0,2,190.0,115
2.0,3,0,1,0,3,11899.0,117
1.0,4,4,0,1,1,142390.0,101
1.0,4,4,0,1,1,163780.0,101
1.0,4,4,0,1,1,179600.0,2
1.0,4,4,0,1,1,235270.0,2
1.0,4,4,0,1,1,126860.0,2
2.0,3,3,0,1,1,186990.0,76
2.0,3,3,0,0,1,10500.0,25
2.0,3,0,0,0,1,13449.0,25
2.0,3,0,0,0,1,9300.0,25
2.0,3,3,0,1,1,5295.0,76
1.0,4,0,1,0,1,49990.0,99
3.0,1,1,0,0,1,2999.0,29
3.0,1,1,0,0,1,135.0,15
2.0,3,4,0,1,3,164290.0,34
2.0,3,4,0,0,3,164290.0,34
2.0,2,3,0,0,1,67436.0,3
2.0,2,3,0,0,1,57919.0,3
2.0,3,4,0,0,1,9999.0,24
1.0,4,0,1,1,1,1999.0,42
1.0,4,0,1,1,1,1999.0,42
1.0,4,0,1,1,1,1999.0,42
1.0,4,0,1,1,1,1999.0,42
1.0,4,0,1,1,1,1999.0,42
1.0,4,0,1,1,1,1999.0,42
1.0,4,0,1,1,1,1999.0,42
2.0,3,3,0,0,1,16999.0,11
1.0,4,0,1,1,0,6749.0,78
3.0,1,1,0,0,1,21582.0,96
1.0,4,0,1,1,2,874.0,119
2.0,3,3,0,0,1,16599.0,119
2.0,3,3,0,0,1,16599.0,119
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,19999.0,79
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,32999.0,79
3.0,0,0,0,0,2,32999.0,79
4.0,3,3,0,0,1,279999.0,79
4.0,3,3,0,0,1,294999.0,79
3.0,4,0,1,1,2,125430.0,87
2.0,3,3,0,0,1,11399.0,125
3.0,0,0,0,0,2,21999.0,79
4.0,3,3,0,0,1,29599.0,79
2.0,3,3,0,0,1,232240.0,79
2.0,3,3,0,0,1,278441.0,79
3.0,4,0,1,0,1,5952.0,106
4.0,3,3,0,0,1,71111.0,51
2.0,3,3,0,0,1,21799.0,79
2.0,3,3,0,0,1,21799.0,79
2.0,2,3,0,0,1,16999.0,64
1.0,4,0,0,1,1,9399.0,44
2.0,3,4,0,0,1,5709.0,4
2.0,3,4,0,0,3,149999.0,45
3.0,0,0,0,0,2,34999.0,79
4.0,3,3,0,0,3,21999.0,79
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,199999.0,79
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,21999.0,79
3.0,0,0,0,0,2,32999.0,79
3.0,0,0,0,0,2,34999.0,79
3.0,0,0,0,0,2,34999.0,79
3.0,0,0,0,0,2,34999.0,79
4.0,3,3,0,0,1,28499.0,79
1.0,4,0,0,1,1,10400.0,44
2.0,3,4,0,1,3,167880.0,66
4.0,3,3,0,0,1,27999.0,79
2.0,3,3,1,0,1,9400.0,104
2.0,3,3,0,0,1,9300.0,31
1.0,3,4,0,1,3,15285.0,93
2.0,2,3,0,0,1,11742.0,119
